REF_AREA	NUTS_ID
ITF35	ITF35
ITF43	ITF43
ITF44	ITF44
ITF45	ITF45
ITF41	ITF46
ITF42	ITF47
IT110	ITF48
ITF51	ITF51
ITF52	ITF52
ITF61	ITF61
ITF62	ITF62
ITF63	ITF63
ITF64	ITF64
ITF65	ITF65
ITG11	ITG11
ITG12	ITG12
ITG13	ITG13
ITG14	ITG14
ITG15	ITG15
ITG16	ITG16
ITG17	ITG17
ITG18	ITG18
ITG19	ITG19
ITG25	ITG25
ITG26	ITG26
ITG27	ITG27
ITG28	ITG28
	ITG29
	ITG2A
	ITG2B
	ITG2C
ITD10	ITH10
ITD20	ITH20
ITD31	ITH31
ITD32	ITH32
ITD33	ITH33
ITD34	ITH34
ITD35	ITH35
ITD36	ITH36
ITD37	ITH37
ITD41	ITH41
ITD42	ITH42
ITD43	ITH43
ITD44	ITH44
ITD51	ITH51
ITD52	ITH52
ITD53	ITH53
ITD54	ITH54
ITD55	ITH55
ITD56	ITH56
ITD57	ITH57
ITD58	ITH58
ITD59	ITH59
ITE11	ITI11
ITE12	ITI12
ITE13	ITI13
ITE14	ITI14
ITE15	ITI15
ITE16	ITI16
ITE17	ITI17
ITE18	ITI18
ITE19	ITI19
ITE1A	ITI1A
ITE21	ITI21
ITE22	ITI22
ITE31	ITI31
ITE32	ITI32
ITE33	ITI33
ITE34	ITI34
IT109	ITI35
ITE41	ITI41
ITE42	ITI42
ITE43	ITI43
ITE44	ITI44
ITE45	ITI45
ITC11	ITC11
ITC12	ITC12
ITC13	ITC13
ITC14	ITC14
ITC15	ITC15
ITC16	ITC16
ITC17	ITC17
ITC18	ITC18
ITC20	ITC20
ITC31	ITC31
ITC32	ITC32
ITC33	ITC33
ITC34	ITC34
ITC41	ITC41
ITC42	ITC42
ITC43	ITC43
ITC44	ITC44
ITC46	ITC46
ITC47	ITC47
ITC48	ITC48
ITC49	ITC49
ITC4A	ITC4A
ITC4B	ITC4B
ITC45	ITC4C
IT108	ITC4D
ITF11	ITF11
ITF12	ITF12
ITF13	ITF13
ITF14	ITF14
ITF21	ITF21
ITF22	ITF22
ITF31	ITF31
ITF32	ITF32
ITF33	ITF33
ITF34	ITF34
